Title,Date
"IT'S WHAT'S INSIDE","11/22/24"
"Tenet","11/22/24"
"The Buckingham Murders","11/16/24"
"El Camino: A Breaking Bad Movie","11/15/24"
"Get Smart With Money","11/14/24"
"The Diplomat: Season 2: Dreadnought","11/12/24"
"The Diplomat: Season 2: Our Lady of Immaculate Deception","11/12/24"
"The Diplomat: Season 2: The Other Army","11/12/24"
"The Diplomat: Season 2: The Ides of March","11/12/24"
"The Diplomat: Season 2: St. Paul's","11/12/24"
"The Diplomat: Season 2: When a Stranger Calls","11/12/24"
"The Lincoln Lawyer: Season 3: The Gods of Guilt","11/11/24"
"The Lincoln Lawyer: Season 3: Ghosts","11/11/24"
"The Lincoln Lawyer: Season 3: Mystery Man","11/11/24"
"Lonely Planet","11/11/24"
"The Lincoln Lawyer: Season 3: Relevance","11/11/24"
"Little Women","11/10/24"
"Blood Work","11/10/24"
"Trouble","11/10/24"
"The Lincoln Lawyer: Season 3: Man on Fire","11/9/24"
"The Lincoln Lawyer: Season 3: What Happens in Victorville","11/9/24"
"The Weekend Away","11/9/24"
"The Lincoln Lawyer: Season 3: Rearview Blind Spots","11/8/24"
"The Lincoln Lawyer: Season 3: Strange Bedfellows","11/8/24"
"One Night: Episode 6 - Tess","11/8/24"
"One Night: Episode 5 - Hat","11/8/24"
"One Night: Episode 4 - Simone","11/7/24"
"One Night: Episode 3 - Tess","11/7/24"
"American Psycho","11/7/24"
"One Night: Episode 2 - Hat","11/5/24"
"One Night: Episode 1 - Simone","11/5/24"
"Let Go","11/4/24"
"The Lincoln Lawyer: Season 3: Special Circumstances","11/4/24"
"Made in Italy","11/2/24"
"The Lincoln Lawyer: Season 3: La Culebra","11/1/24"
"Territory: Episode 6","11/1/24"
"Territory: Episode 5","11/1/24"
"Territory: Episode 4","10/31/24"
"Territory: Episode 3","10/31/24"
"Territory: Episode 2","10/30/24"
"Territory: Episode 1","10/30/24"
"Mother of the Bride","10/27/24"
"Monsters: The Lyle and Erik Menendez Story: Kill or Be Killed","10/26/24"
"Nobody Wants This: Season 1: Bat Mitzvah Crashers","10/24/24"
"Nobody Wants This: Season 1: My Girl Bina","10/24/24"
"Nobody Wants This: Season 1: Rebecca's Box","10/24/24"
"Nobody Wants This: Season 1: WAGS","10/24/24"
"Nobody Wants This: Season 1: The Ick","10/24/24"
"Monsters: The Lyle and Erik Menendez Story: Brother, Can You Spare a Dime?","10/24/24"
"Nobody Wants This: Season 1: My Friend Joanne","10/23/24"
"Nobody Wants This: Season 1: Obliterated","10/23/24"
"Nobody Wants This: Season 1: Either Aura","10/23/24"
"Nobody Wants This: Season 1: A Shiksa Walks Into a Temple","10/23/24"
"Nobody Wants This: Season 1: Pilot","10/23/24"
"Bullet Train","10/22/24"
"Monsters: The Lyle and Erik Menendez Story: Spree","10/18/24"
"Monsters: The Lyle and Erik Menendez Story: Blame It on the Rain","10/18/24"
"You: Season 4: The Death of Jonathan Moore","10/16/24"
"You: Season 4: She's Not There","10/16/24"
"You: Season 4: Where Are You Going, Where Have You Been?","10/16/24"
"You: Season 4: Good Man, Cruel World","10/15/24"
"You: Season 4: Best of Friends","10/15/24"
"You: Season 4: The Fox and the Hound","10/15/24"
"Mr. Right","10/14/24"
"The Deliverance","10/14/24"
"You: Season 4: Hampsie","10/12/24"
"You: Season 4: Eat the Rich","10/12/24"
"You: Season 4: Portrait of the Artist","10/12/24"
"You: Season 4: Joe Takes a Holiday","10/10/24"
"You: Season 3: What Is Love?","10/10/24"
"You: Season 3: Red Flag","10/9/24"
"You: Season 3: Swing and a Miss","10/9/24"
"You: Season 3: We're All Mad Here","10/9/24"
"You: Season 3: W.O.M.B.","10/8/24"
"You: Season 3: Into the Woods","10/8/24"
"You: Season 3: Hands Across Madre Linda","10/8/24"
"You: Season 3: Missing White Woman Syndrome","10/6/24"
"A Good Person","10/6/24"
"You: Season 3: So I Married an Axe Murderer","10/4/24"
"Aloha","10/4/24"
"You: Season 3: And They Lived Happily Ever After","10/4/24"
"Sabotage","10/2/24"
"Masterminds","10/2/24"
"In the Shadow of the Moon","9/22/24"
"Dream Scenario","9/22/24"
"You: Season 2: Love, Actually","9/22/24"
"You: Season 2: P.I. Joe","9/21/24"
"You: Season 2: Fear and Loathing in Beverly Hills","9/21/24"
"The Kitchen","9/21/24"
"Emily in Paris: Season 4: All Roads Lead to Rome","9/20/24"
"Emily in Paris: Season 4: Roman Holiday","9/20/24"
"You: Season 2: Ex-istential Crisis","9/20/24"
"You: Season 2: Farewell, My Bunny","9/20/24"
"You: Season 2: Have a Good Wellkend, Joe!","9/19/24"
"A Most Wanted Man","9/19/24"
"Gunpowder Milkshake","9/19/24"
"Emily in Paris: Season 4: Back on the Crazy Horse","9/19/24"
"Emily in Paris: Season 4: Lost in Translation","9/19/24"
"Emily in Paris: Season 4: Last Christmas","9/19/24"
"Three Thousand Years of Longing","9/18/24"
"Uglies","9/15/24"
"The Marksman","9/15/24"
"You: Season 2: The Good, the Bad, & the Hendy","9/15/24"
"Paul","9/15/24"
"You: Season 2: What Are Friends For?","9/14/24"
"You: Season 2: Just the Tip","9/14/24"
"You: Season 2: A Fresh Start","9/14/24"
"Babylon","9/13/24"
"Brothers","9/13/24"
"Suits: Season 1: Play the Man","9/13/24"
"Suits: Season 1: Tricks of the Trade","9/12/24"
"Suits: Season 1: Bail Out","9/12/24"
"You: Season 1: Bluebeard's Castle","9/12/24"
"You: Season 1: Candace","9/12/24"
"You: Season 1: You Got Me, Babe","9/12/24"
"Something Borrowed","9/11/24"
"Rebel Ridge","9/8/24"
"You: Season 1: Everythingship","9/8/24"
"You: Season 1: Amour Fou","9/8/24"
"You: Season 1: Living with the Enemy","9/7/24"
"The Perfect Couple: That Feels Better","9/6/24"
"The Perfect Couple: Never Gonna Give You Up","9/6/24"
"The Perfect Couple: Someone Could Get Hurt","9/6/24"
"The Perfect Couple: The Perfect Family","9/5/24"
"The Perfect Couple: She Would Never Do That","9/5/24"
"Find Me Falling","9/4/24"
"U.S. Marshals","9/3/24"
"Salt","9/3/24"
"You: Season 1: The Captain","9/3/24"
"You: Season 1: Maybe","9/3/24"
"You: Season 1: The Last Nice Guy in New York","9/2/24"
"The Rooster","9/2/24"
"You: Season 1: Pilot","9/2/24"
"The Killer","9/1/24"
"Florida Man: Limited Series: The Realest Goddamned Place on Earth","9/1/24"
"Den of Thieves","9/1/24"
"Emily in Paris: Season 4: Trompe l'oeil","9/1/24"
"The Good Liar","9/1/24"
"Marmalade","8/31/24"
"Operation Fortune: Ruse de guerre","8/31/24"
"Emily in Paris: Season 4: The Grey Area","8/31/24"
"Emily in Paris: Season 4: Masquerade","8/31/24"
"Emily in Paris: Season 4: Love on the Run","8/31/24"
"Why Him?","8/30/24"
"Free State of Jones","8/30/24"
"Emily in Paris: Season 4: Break Point","8/30/24"
"Charlie's Angels","8/22/24"
"Heart of Stone","8/22/24"
"Red Notice","8/22/24"
"Boy Erased","8/22/24"
"Greta","8/20/24"
"Lucy","8/20/24"
"Bank of Dave","8/19/24"
"Kingsman: The Golden Circle","8/18/24"
"The Union","8/18/24"
"The Other Woman","8/17/24"
"Money Monster","8/17/24"
"Kingsman: The Secret Service","8/17/24"
"Captain Phillips","8/16/24"
"Lift","8/15/24"
"The Tourist","8/12/24"
"The Holdovers","8/10/24"
"PIECES OF HER: Episode 8","8/6/24"
"PIECES OF HER: Episode 7","8/6/24"
"PIECES OF HER: Episode 6","8/5/24"
"PIECES OF HER: Episode 5","8/2/24"
"PIECES OF HER: Episode 4","7/31/24"
"PIECES OF HER: Episode 3","7/31/24"
"PIECES OF HER: Episode 2","7/30/24"
"PIECES OF HER: Episode 1","7/30/24"
"Supacell: Michael","7/30/24"
"Jason Bourne","7/25/24"
"Focus","7/22/24"
"Atlas","7/22/24"
"Old Dads","7/19/24"
"You Don't Know Me: Episode 4","7/8/24"
"You Don't Know Me: Episode 3","7/8/24"
"You Don't Know Me: Episode 2","7/8/24"
"You Don't Know Me: Episode 1","7/7/24"
"The Martian","7/7/24"
"Beverly Hills Cop: Axel F","7/6/24"
"Bridgerton: Season 3: Into the Light","7/5/24"
"Bridgerton: Season 3: Joining of Hands","7/5/24"
"Bridgerton: Season 3: Romancing Mister Bridgerton","7/4/24"
"Bridgerton: Season 3: Tick Tock","7/3/24"
"Nocturnal Animals","7/2/24"
"Yellowjackets: Pilot","7/2/24"
"My Life With the Walter Boys: Season 1: Live a Little","7/2/24"
"My Life With the Walter Boys: Season 1: Welcome to Colorado","7/2/24"
"A Family Affair","7/1/24"
"The Foreigner","6/30/24"
"The Bricklayer","6/25/24"
"Griselda: Limited Series: Adios, Miami","6/18/24"
"Griselda: Limited Series: Paradise Lost","6/18/24"
"Griselda: Limited Series: Middle Management","6/17/24"
"Griselda: Limited Series: Mutiny","6/17/24"
"Griselda: Limited Series: Rich White People","6/16/24"
"Griselda: Limited Series: Lady Comes to Town","6/16/24"
"Dom Hemingway","6/15/24"
"The Bag Man","6/15/24"
"Margin Call","6/13/24"
"The Talented Mr. Ripley","6/12/24"
"Safe House","6/11/24"
"Bridgerton: Season 1: Diamond of the First Water","6/11/24"
"Fair Play","6/11/24"
"The Killer","6/11/24"
"RIPLEY: Limited Series: VIII  NARCISSUS","6/10/24"
"RIPLEY: Limited Series: VII  MACABRE ENTERTAINMENT","6/10/24"
"RIPLEY: Limited Series: VI  SOME HEAVY INSTRUMENT","6/9/24"
"RIPLEY: Limited Series: V  LUCIO","6/9/24"
"RIPLEY: Limited Series: IV  LA DOLCE VITA","6/9/24"
"Hit Man","6/9/24"
"RIPLEY: Limited Series: III  SOMMERSO","6/8/24"
"RIPLEY: Limited Series: II  SEVEN MERCIES","6/8/24"
"RIPLEY: Limited Series: I  A HARD MAN TO FIND","6/7/24"
"Good Luck to You, Leo Grande","6/5/24"
"Yellowjackets: Sic Transit Gloria Mundi","6/3/24"
"Yellowjackets: Doomcoming","6/3/24"
"Yellowjackets: Flight of the Bumblebee","6/3/24"
"Yellowjackets: No Compass","6/2/24"
"Yellowjackets: Saints","6/2/24"
"Yellowjackets: Blood Hive","6/2/24"
"Yellowjackets: Bear Down","6/1/24"
"Yellowjackets: The Dollhouse","6/1/24"
"Yellowjackets: F Sharp","5/31/24"
"Bridgerton: Season 3: Old Friends","5/30/24"
"Bridgerton: Season 3: Forces of Nature","5/30/24"
"Bridgerton: Season 3: How Bright the Moon","5/29/24"
"Bridgerton: Season 3: Out of the Shadows","5/29/24"
"Treason: Limited Series: Episode 1","5/29/24"
"Operation Mincemeat","5/28/24"
"Disturbia","5/27/24"
"Inside Man: Episode 4","5/26/24"
"Inside Man: Episode 3","5/26/24"
"Inside Man: Episode 2","5/26/24"
"Inside Man: Episode 1","5/25/24"
"Bodkin: Empty Your Pockets","5/24/24"
"Bodkin: Ends Justify Means","5/24/24"
"Bodkin: Peace in Our Time","5/23/24"
"Bodkin: Poison or Something","5/23/24"
"Bodkin: Perfectly Innocent Life","5/23/24"
"The Outsider","5/21/24"
"Blow","5/20/24"
"Bodkin: Who We Are","5/20/24"
"Operation Finale","5/19/24"
"Bodkin: One True Mystery","5/19/24"
"Masterpiece Contemporary: Page Eight","5/18/24"
"The Take","5/18/24"
"A Man in Full: Limited Series: Judgment Day","5/18/24"
"A Man in Full: Limited Series: Push Comes to Shove","5/18/24"
"A Man in Full: Limited Series: Tick Tick","5/17/24"
"A Man in Full: Limited Series: The Takedown","5/17/24"
"A Man in Full: Limited Series: The Big Squash","5/17/24"
"Collateral: Limited Series: Episode 1","5/17/24"
"Top Boy: Season 1: Bruk Up","5/17/24"
"Top Boy: Season 3: If We Are Not Monsters","5/16/24"
"Top Boy: Season 3: Has It Come to This","5/16/24"
"Top Boy: Season 3: The Food Is Killing Us","5/16/24"
"Top Boy: Season 3: Birthday Party","5/16/24"
"Top Boy: Season 3: The Tour","5/16/24"
"Top Boy: Season 3: Step Back","5/14/24"
"Top Boy: Season 2: Prove Yourself","5/14/24"
"Top Boy: Season 2: We Ride Out for Family","5/14/24"
"Top Boy: Season 2: De Capa y Espada","5/14/24"
"Top Boy: Season 2: 15 Points","5/13/24"
"Top Boy: Season 2: Fully Loaded Headache","5/13/24"
"Top Boy: Season 2: Likkle Favour","5/13/24"
"Top Boy: Season 2: How Do I Fix This?","5/13/24"
"Top Boy: Season 2: Good Morals","5/12/24"
"Top Boy: Season 1: You Don't Know Me","5/12/24"
"Top Boy: Season 1: Everyone's Got Family","5/12/24"
"Burning Body: Limited Series: The Reservoir","5/12/24"
"Top Boy: Season 1: Bad Eye","5/12/24"
"Top Boy: Summerhouse: Series 1: Episode 1","5/12/24"
"Top Boy: Summerhouse: Series 2: Episode 4","5/11/24"
"Top Boy: Summerhouse: Series 2: Episode 3","5/11/24"
"Top Boy: Summerhouse: Series 2: Episode 2","5/11/24"
"Top Boy: Summerhouse: Series 2: Episode 1","5/11/24"
"Top Boy: Summerhouse: Series 1: Episode 4","5/10/24"
"Top Boy: Summerhouse: Series 1: Episode 3","5/10/24"
"Top Boy: Summerhouse: Series 1: Episode 2","5/10/24"
"Top Boy: Season 1: The Squeeze","5/9/24"
"Top Boy: Season 1: Press Gang","5/9/24"
"Top Boy: Season 1: Smoke Gets in Your Hands","5/9/24"
"Top Boy: Season 1: Bonfire Night","5/9/24"
"Top Boy: Season 1: Big Flame","5/8/24"
"Top Boy: Season 1: Building Bridges","5/8/24"
"Promising Young Woman","5/8/24"
"Confess, Fletch","5/6/24"
"Baby Reindeer: Limited Series: Episode 7","5/6/24"
"Baby Reindeer: Limited Series: Episode 6","5/6/24"
"Baby Reindeer: Limited Series: Episode 5","5/5/24"
"Baby Reindeer: Limited Series: Episode 4","5/5/24"
"Baby Reindeer: Limited Series: Episode 3","5/5/24"
"Baby Reindeer: Limited Series: Episode 2","5/5/24"
"Baby Reindeer: Limited Series: Episode 1","5/5/24"
"Rudy","5/2/24"
"The Proposal","5/1/24"
"Layer Cake","5/1/24"
"The Nest","4/29/24"
"Shooter","4/29/24"
"Glass","4/20/24"
"Brothers in Arms","4/20/24"
"Anthracite: Secrets of the Sect: Still on Fire","4/18/24"
"A Most Violent Year","4/14/24"
"Luther: The Fallen Sun","4/14/24"
"Hell or High Water","4/12/24"
"An Unfinished Life","4/8/24"
"Bodies: Limited Series: 'We Are One Another's Ghosts'","4/6/24"
"Bodies: Limited Series: 'Right Up the Wazoo'","4/5/24"
"The Kill Room","4/5/24"
"Bodies: Limited Series: 'All in Good Time'","4/4/24"
"Bodies: Limited Series: 'Do You Know Who I Am?'","4/3/24"
"Bodies: Limited Series: 'You're Dead Already'","4/3/24"
"The Gentlemen: The Gospel According to Bobby Glass","3/31/24"
"The Gentlemen: Not Without Danger","3/31/24"
"The Gentlemen: All Eventualities","3/30/24"
"The Gentlemen: I've Hundreds of Cousins","3/30/24"
"The Infiltrator","3/29/24"
"Greenland","3/29/24"
"The Gentlemen: An Unsympathetic Gentleman","3/28/24"
"The Gentlemen: Where's My Weed At?","3/28/24"
"The Gentlemen: Tackle Tommy Woo Woo","3/28/24"
"The Gentlemen: Refined Aggression","3/27/24"
"3 Body Problem: Season 1: Countdown","3/27/24"
"The Vault","3/27/24"
"The Highwaymen","3/27/24"
"Oppenheimer","3/26/24"
"Gemini Man","3/25/24"
"Ford v. Ferrari","3/20/24"
"The Innocent: Limited Series: Episode 4","3/20/24"
"The Innocent: Limited Series: Episode 3","3/19/24"
"The Innocent: Limited Series: Episode 2","3/19/24"
"The Innocent: Limited Series: Episode 1","3/19/24"
"Luckiest Girl Alive","3/16/24"
"Organ Trail","3/16/24"
"Irish Wish","3/16/24"
"Zombieland: Double Tap","3/15/24"
"I Came By","3/13/24"
"Stay Close: Limited Series: Episode 8","3/12/24"
"Stay Close: Limited Series: Episode 7","3/12/24"
"Stay Close: Limited Series: Episode 6","3/12/24"
"Stay Close: Limited Series: Episode 5","3/11/24"
"Stay Close: Limited Series: Episode 4","3/11/24"
"Stay Close: Limited Series: Episode 3","3/11/24"
"Stay Close: Limited Series: Episode 2","3/11/24"
"One Day: Limited Series: Episode 1","3/11/24"
"White Boy Rick","3/10/24"
"Reptile","3/9/24"
"One Day: Limited Series: Episode 14","3/8/24"
"One Day: Limited Series: Episode 13","3/8/24"
"One Day: Limited Series: Episode 12","3/8/24"
"One Day: Limited Series: Episode 11","3/8/24"
"One Day: Limited Series: Episode 10","3/8/24"
"Stay Close: Limited Series: Episode 1","3/7/24"
"One Day: Limited Series: Episode 9","3/6/24"
"One Day: Limited Series: Episode 8","3/6/24"
"One Day: Limited Series: Episode 7","3/6/24"
"The Crown: Season 1: Wolferton Splash","3/6/24"
"One Day: Limited Series: Episode 6","3/5/24"
"One Day: Limited Series: Episode 5","3/5/24"
"Zombieland","3/5/24"
"One Day: Limited Series: Episode 4","3/5/24"
"One Day: Limited Series: Episode 3","3/4/24"
"One Day: Limited Series: Episode 2","3/4/24"
